profile,objective,ttft_s,prompt_tok_s,p50_latency_s,p95_latency_s,p99_latency_s,latency_stdev_s,queue_delay_s,throughput_tok_s,avg_tok_s,peak_ram_mb,peak_rss_mb,avg_cpu_pct,quality,successful,total_requests,total_completion_tokens,total_prompt_tokens,runtime,threads,batch_threads,concurrency,quantization,performix_status
balanced,balanced,0.4531,98.0,1.9294,2.5155,2.5217,0.6585,0.0,26.1,27.8,1942.0,1701.0,93.4,1.0,6,6,286,808,LlamaServerAdapter,4,0,1,Q4_K_M,attempted-no-output
thread_1,balanced,1.6491,26.0,6.3959,7.959,8.1174,1.9824,0.0,8.1,8.6,1916.0,1700.0,25.8,1.0,6,6,286,808,unknown,,,,,n/a
thread_2,balanced,0.845,51.1,3.4143,4.271,4.3593,1.0364,0.0,15.1,15.8,1917.0,1700.0,50.1,1.0,6,6,286,808,unknown,,,,,n/a
thread_4,balanced,0.4422,100.0,1.818,2.2798,2.3265,0.5356,0.0,28.1,29.3,1912.0,1700.0,95.4,1.0,6,6,286,808,unknown,,,,,n/a
concurrency_1,balanced,0.4436,99.1,1.8269,2.2842,2.3339,0.5413,0.0,28.1,29.3,1921.0,1701.0,95.4,1.0,6,6,286,808,unknown,,,,,n/a
balanced,balanced,0.3314,134.0,1.635,1.9146,1.9355,0.354,0.0,33.0,33.9,1875.0,1616.0,94.9,1.0,6,6,306,808,LlamaServerAdapter,4,0,1,Q4_0,attempted-no-output
thread_1,balanced,1.2135,34.8,5.6597,6.6066,6.6903,1.3006,0.0,9.7,10.0,1868.0,1615.0,25.7,1.0,6,6,306,808,unknown,,,,,n/a
thread_2,balanced,0.623,68.8,3.0318,3.5411,3.5852,0.6726,0.0,17.9,18.4,1866.0,1616.0,49.9,1.0,6,6,306,808,unknown,,,,,n/a
thread_4,balanced,0.3304,134.0,1.6354,1.9082,1.9307,0.3436,0.0,32.9,33.7,1857.0,1616.0,95.4,1.0,6,6,306,808,unknown,,,,,n/a
concurrency_1,balanced,0.3302,134.5,1.63,1.92,1.9466,0.3541,0.0,33.0,33.9,1890.0,1616.0,95.4,1.0,6,6,306,808,unknown,,,,,n/a
